cells,Gen1,Gen2,Gen3,Gen 4,Gen 5
A144,0,0,0,0,0
A145,0,0,0,0,0
A146,0,0,0,0,0
A147,1.0019582262109,2.00785343002263,1.0019582262109,5.04947336903132,0
A148,0,0,0,0,0
A149,0,0,0,0,0
A150,0,0,0,0,1.0019582262109
A151,0,1.0019582262109,0,1.0019582262109,0
A152,0,0,0,0,0
A153,1.0019582262109,1.0019582262109,0,2.00785343002263,0
A154,0,0,0,3.01771667252281,14.3973678906563
A155,0,0,0,0,1.0019582262109
A156,0,0,0,0,0
A157,0,0,0,0,0
A158,1.0019582262109,5.04947336903132,0,4.03157938384363,5.04947336903132
A159,0,1.0019582262109,0,1.0019582262109,0
A160,0,0,0,0,0
A161,0,1.0019582262109,0,0,1.0019582262109
A162,0,0,0,0,0
A163,0,0,0,0,0
A164,0,0,0,0,0
A165,0,0,0,0,0
A166,0,0,0,0,0
A167,0,0,0,0,0
A168,0,0,0,0,0
A169,0,1.0019582262109,0,0,0
A170,1.0019582262109,1.0019582262109,2.00785343002263,3.01771667252281,1.0019582262109
A171,4.03157938384363,5.04947336903132,3.01771667252281,1.0019582262109,1.0019582262109
A172,1.0019582262109,4.03157938384363,1.0019582262109,1.0019582262109,0
A173,0,0,0,0,7.09748429180284
A174,1.0019582262109,0,2.00785343002263,1.0019582262109,0
A175,0,0,0,1.0019582262109,0
A176,0,0,0,0,0
A177,0,0,0,0,0
A178,0,0,0,0,0
A179,0,0,0,0,0
A180,1.0019582262109,0,0,0,0
A181,1.0019582262109,1.0019582262109,1.0019582262109,1.0019582262109,3.01771667252281
A182,0,0,0,0,0
A183,0,0,0,0,0
A184,0,0,0,0,0
A185,0,0,0,0,0
A186,11.2433238873179,36.4800160274645,16.5218614112182,15.4574108131603,64.4793906572979
A187,0,0,0,0,0
A188,0,0,0,0,0
A189,8.12766676853256,43.4941534196218,19.7420296561744,14.3973678906563,36.4800160274645
A190,0,0,0,0,0
A191,0,0,0,0,0
A192,0,3.01771667252281,0,1.0019582262109,0
A193,0,0,0,1.0019582262109,0
A194,3.01771667252281,9.16201161000583,1.0019582262109,13.3416962915876,0
A195,0,0,0,0,0
A196,0,0,0,0,0
A197,0,2.00785343002263,3.01771667252281,6.07143081403291,9.16201161000583
A198,12.2903601117083,8.12766676853256,5.04947336903132,3.01771667252281,1.0019582262109
A199,0,5.04947336903132,0,0,2.00785343002263
A200,0,2.00785343002263,1.0019582262109,1.0019582262109,0
A201,7.09748429180284,16.5218614112182,6.07143081403291,11.2433238873179,5.04947336903132
A202,0,0,0,0,0
A203,0,0,0,0,0
A204,0,0,0,0,0
A205,0,0,0,0,0
A206,2.00785343002263,5.04947336903132,4.03157938384363,2.00785343002263,2.00785343002263
A207,0,0,0,1.0019582262109,0
A208,0,0,0,1.0019582262109,0
A209,1.0019582262109,3.01771667252281,0,0,0
A210,0,0,0,0,0
A211,0,0,2.00785343002263,5.04947336903132,0
A212,7.09748429180284,0,0,2.00785343002263,0
A213,0,1.0019582262109,1.0019582262109,2.00785343002263,0
A214,0,0,0,0,1.0019582262109
A215,0,0,0,0,0
A216,0,0,0,1.0019582262109,0
A217,0,24.0995816739486,0,0,0
A218,0,0,0,0,0
A219,4.03157938384363,0,0,2.00785343002263,0
A220,0,1.0019582262109,1.0019582262109,1.0019582262109,0
A221,0,0,0,0,0
A222,0,1.0019582262109,0,0,0
A223,0,0,0,0,0
A224,0,0,0,0,0
A225,0,2.00785343002263,0,0,1.0019582262109
A226,0,2.00785343002263,0,0,0
A227,0,0,0,0,0
A228,0,0,0,0,0
A229,0,0,0,0,0
A230,0,0,0,0,0
A231,0,0,0,0,0
A232,0,0,0,0,0
A233,0,0,0,0,0
A234,0,0,0,0,0
A235,0,0,0,0,3.01771667252281
A236,0,0,0,0,0
A237,0,0,0,0,0
A238,0,0,0,0,0
A239,0,0,0,0,0
A240,0,0,0,0,0
A241,0,0,0,0,0
A242,0,0,0,1.0019582262109,0
A243,0,3.01771667252281,0,0,6.07143081403291
A244,0,0,0,0,0
A245,0,0,0,0,0
A246,0,0,0,0,0
A247,0,0,0,0,0
A248,0,0,0,0,0
A249,0,0,0,0,0
A250,0,0,0,0,0
A251,0,0,0,0,0
A252,0,0,0,0,0
A253,0,0,0,0,0
A254,0,1.0019582262109,0,0,0
A255,0,0,0,3.01771667252281,0
A256,0,0,0,0,0
A257,0,35.3294522929776,0,0,0
A258,0,0,0,0,0
A259,0,0,0,0,0
A260,0,1.0019582262109,0,0,0
A261,0,0,0,0,0
A262,0,0,0,0,0
A263,0,35.3294522929776,0,0,0
A264,0,0,0,0,0
A265,0,0,0,1.0019582262109,0
A266,0,0,0,0,0
A267,0,0,0,0,0
A268,0,0,0,0,0
A269,0,0,0,0,0
A270,0,0,0,0,0
A271,0,6.07143081403291,0,0,0
A272,0,0,0,0,0
A273,0,3.01771667252281,6.07143081403291,14.3973678906563,6.07143081403291
A274,3.01771667252281,3.01771667252281,3.01771667252281,4.03157938384363,1.0019582262109
A275,0,0,0,0,0
A276,0,0,0,0,0
A277,0,2.00785343002263,0,0,0
A278,0,0,0,1.0019582262109,0
A279,1.0019582262109,0,0,2.00785343002263,0
A280,3.01771667252281,0,0,1.0019582262109,0
A281,0,0,0,3.01771667252281,0
A282,0,0,0,0,0
A283,0,0,0,0,0
A284,0,0,0,0,0
A285,7.09748429180284,0,0,0,0
A286,0,0,1.0019582262109,0,0
A287,0,0,0,0,0
A288,0,3.01771667252281,0,0,0
A289,0,0,2.00785343002263,0,0
A290,1.0019582262109,0,0,1.0019582262109,2.00785343002263
A291,1.0019582262109,0,0,0,0
A292,0,0,0,0,0
A293,1.0019582262109,0,1.0019582262109,0,0
A294,0,0,0,0,0
A295,0,0,0,20.8244837002118,1.0019582262109
A296,0,0,0,0,0
A297,3.01771667252281,2.00785343002263,4.03157938384363,6.07143081403291,3.01771667252281
A298,0,0,0,0,0
A299,4.03157938384363,4.03157938384363,1.0019582262109,2.00785343002263,13.3416962915876
A300,1.0019582262109,0,0,0,0
A301,0,0,0,0,0
A302,0,0,0,0,0
A303,1.0019582262109,0,0,0,0
A304,0,0,0,0,0
A305,1.0019582262109,4.03157938384363,5.04947336903132,4.03157938384363,5.04947336903132
A306,0,0,0,0,0
A307,1.0019582262109,0,1.0019582262109,3.01771667252281,0
A308,1.0019582262109,6.07143081403291,0,0,1.0019582262109
A309,0,0,0,0,0
A310,0,0,0,0,0
A311,3.01771667252281,6.07143081403291,4.03157938384363,11.2433238873179,1.0019582262109
A312,0,3.01771667252281,3.01771667252281,1.0019582262109,1.0019582262109
A313,0,1.0019582262109,1.0019582262109,1.0019582262109,0
A314,0,0,0,0,0
A315,0,1.0019582262109,0,0,0
A316,0,0,0,3.01771667252281,0
A317,2.00785343002263,1.0019582262109,0,0,0
A318,3.01771667252281,2.00785343002263,1.0019582262109,3.01771667252281,2.00785343002263
A319,0,0,0,0,0
A320,0,0,0,0,0
A321,0,0,0,0,0
A322,0,0,0,1.0019582262109,0
A323,0,0,0,0,0
A324,0,1.0019582262109,0,0,0
A325,0,0,0,0,0
A326,0,0,0,0,1.0019582262109
A327,0,0,0,0,0
A328,1.0019582262109,0,0,1.0019582262109,0
A329,0,1.0019582262109,0,0,0
A330,2.00785343002263,1.0019582262109,0,0,0
A331,0,0,0,0,0
A332,0,0,0,0,0
A333,0,0,0,0,0
A334,0,0,1.0019582262109,0,0
A335,0,0,0,0,0
A336,0,0,0,0,0
A337,0,0,0,0,0
A338,0,0,0,0,0
A339,1.0019582262109,2.00785343002263,2.00785343002263,1.0019582262109,1.0019582262109
A340,6.07143081403291,2.00785343002263,1.0019582262109,4.03157938384363,1.0019582262109
A341,0,1.0019582262109,1.0019582262109,2.00785343002263,0
